Date,Time,Measure,Period,Period_Transform,AdjustIsHoliday,Week,Week_Update,DayOfYear,DayOfYear_Transform,Temp_H,Date_Time,Holiday_Len,Month,Hour,A,B,IsHoliday
2018/1/1,00:15:00,106.2,C,2,1.0,1,7,1,12,14.8,2018-01-01 00:15:00,3,1,0,0.0,0.0,1
2018/1/1,00:30:00,84.2,C,2,1.0,1,7,1,12,14.8,2018-01-01 00:30:00,3,1,0,0.0,0.0,1
2018/1/1,00:45:00,91.1,C,2,1.0,1,7,1,12,14.8,2018-01-01 00:45:00,3,1,0,0.0,0.0,1
2018/1/1,01:00:00,91.4,C,2,1.0,1,7,1,12,14.8,2018-01-01 01:00:00,3,1,1,0.0,0.0,1
2018/1/1,01:15:00,94.8,C,2,1.0,1,7,1,12,14.6,2018-01-01 01:15:00,3,1,1,0.0,0.0,1
2018/1/1,01:30:00,100.4,C,2,1.0,1,7,1,12,14.6,2018-01-01 01:30:00,3,1,1,0.0,0.0,1
2018/1/1,01:45:00,91.3,C,2,1.0,1,7,1,12,14.6,2018-01-01 01:45:00,3,1,1,0.0,0.0,1
2018/1/1,02:00:00,99.5,C,2,1.0,1,7,1,12,14.6,2018-01-01 02:00:00,3,1,2,0.0,0.0,1
2018/1/1,02:15:00,92.9,C,2,1.0,1,7,1,12,14.2,2018-01-01 02:15:00,3,1,2,0.0,0.0,1
2018/1/1,02:30:00,112.8,C,2,1.0,1,7,1,12,14.2,2018-01-01 02:30:00,3,1,2,0.0,0.0,1
2018/1/1,02:45:00,90.5,C,2,1.0,1,7,1,12,14.2,2018-01-01 02:45:00,3,1,2,0.0,0.0,1
2018/1/1,03:00:00,93.9,C,2,1.0,1,7,1,12,14.2,2018-01-01 03:00:00,3,1,3,0.0,0.0,1
2018/1/1,03:15:00,105.3,C,2,1.0,1,7,1,12,14.0,2018-01-01 03:15:00,3,1,3,0.0,0.0,1
2018/1/1,03:30:00,98.8,C,2,1.0,1,7,1,12,14.0,2018-01-01 03:30:00,3,1,3,0.0,0.0,1
2018/1/1,03:45:00,99.9,C,2,1.0,1,7,1,12,14.0,2018-01-01 03:45:00,3,1,3,0.0,0.0,1
2018/1/1,04:00:00,85.0,C,2,1.0,1,7,1,12,14.0,2018-01-01 04:00:00,3,1,4,0.0,0.0,1
2018/1/1,04:15:00,85.6,C,2,1.0,1,7,1,12,13.8,2018-01-01 04:15:00,3,1,4,0.0,0.0,1
2018/1/1,04:30:00,98.4,C,2,1.0,1,7,1,12,13.8,2018-01-01 04:30:00,3,1,4,0.0,0.0,1
2018/1/1,04:45:00,90.7,C,2,1.0,1,7,1,12,13.8,2018-01-01 04:45:00,3,1,4,0.0,0.0,1
2018/1/1,05:00:00,100.4,C,2,1.0,1,7,1,12,13.8,2018-01-01 05:00:00,3,1,5,0.0,0.0,1
2018/1/1,05:15:00,88.2,C,2,1.0,1,7,1,12,13.7,2018-01-01 05:15:00,3,1,5,0.0,0.0,1
2018/1/1,05:30:00,90.7,C,2,1.0,1,7,1,12,13.7,2018-01-01 05:30:00,3,1,5,0.0,0.0,1
2018/1/1,05:45:00,95.4,C,2,1.0,1,7,1,12,13.7,2018-01-01 05:45:00,3,1,5,0.0,0.0,1
2018/1/1,06:00:00,94.4,C,2,1.0,1,7,1,12,13.7,2018-01-01 06:00:00,3,1,6,0.0,0.0,1
2018/1/1,06:15:00,102.8,C,2,1.0,1,7,1,12,14.2,2018-01-01 06:15:00,3,1,6,0.0,0.0,1
